at_bats,average,era,first_place_votes,home_runs,innings,league,name,obp,ops,points,rbi,runs,saves,sb,slg,strike_outs,team,vote_share,walks,war,wins,year
449,.390,,17.0,24, ,AL,"Brett,George",.454,1.118,335.0,118,87,,15,.664,,KCR,85%,58,9.4,,1980
514,.300,,5.0,41, ,AL,"Jackson,Reggie",.398,.995,234.0,111,94,,1,.597,,NYY,60%,83,4.8,,1980
0,,2.27,4.0,0,99.0,AL,"Gossage,Rich",,,218.0,0,0,33,0,,103,NYY,56%,0,3.4,6,1980
705,.326,,1.0,3, ,AL,"Wilson,Willie",.357,.778,169.0,49,133,,79,.421,,KCR,43%,28,8.5,,1980
622,.352,,0.0,25, ,AL,"Cooper,Cecil",.387,.926,160.0,122,96,,17,.539,,MIL,41%,39,6.8,,1980
621,.300,,0.0,32, ,AL,"Murray,Eddie",.354,.873,106.0,116,100,,7,.519,,BAL,27%,54,4.5,,1980
519,.277,,1.0,14, ,AL,"Cerone,Rick",.321,.753,77.0,85,70,,1,.432,,NYY,20%,32,4.2,,1980
0,,3.09,0.0,0,128.1,AL,"Quisenberry,Dan",,,70.0,0,0,33,0,,37,KCR,18%,0,2.4,12,1980
0,,3.23,0.0,0,250.2,AL,"Stone,Steve",,,53.0,0,0,0,0,,149,BAL,14%,0,3.9,25,1980
591,.303,,0.0,9, ,AL,"Henderson,Rickey",.420,.820,51.0,53,111,,100,.399,,OAK,13%,117,8.8,,1980
656,.319,,0.0,19, ,AL,"Oliver,Al",.357,.838,31.0,117,96,,5,.480,,TEX,8%,39,3.5,,1980
628,.279,,0.0,35, ,AL,"Armas,Tony",.310,.810,29.0,109,87,,5,.500,,OAK,7%,29,5.9,,1980
645,.318,,0.0,9, ,AL,"Bumbry,Al",.392,.825,27.0,53,118,,44,.433,,BAL,7%,78,6.1,,1980
592,.304,,0.0,41, ,AL,"Oglivie,Ben",.362,.925,27.0,118,94,,11,.563,,MIL,7%,54,6.5,,1980
0,,2.53,0.0,0,284.1,AL,"Norris,Mike",,,10.0,0,0,0,0,,180,OAK,3%,0,5.9,22,1980
513,.294,,0.0,7, ,AL,"Randolph,Willie",.427,.834,10.0,46,99,,30,.407,,NYY,3%,119,6.6,,1980
611,.293,,0.0,23, ,AL,"Yount,Robin",.321,.840,8.0,87,121,,20,.519,,MIL,2%,26,7.1,,1980
490,.329,,0.0,17, ,AL,"Bell,Buddy",.379,.877,7.0,83,76,,3,.498,,TEX,2%,40,6.5,,1980
630,.333,,0.0,7, ,AL,"Rivers,Mickey",.353,.789,7.0,60,96,,18,.437,,TEX,2%,20,3.5,,1980
560,.300,,0.0,9, ,AL,"Trammell,Alan",.376,.779,6.0,65,107,,12,.404,,DET,2%,69,4.8,,1980
583,.304,,0.0,24, ,AL,"Singleton,Ken",.397,.882,4.0,104,85,,0,.485,,BAL,1%,92,4.0,,1980
528,.341,,0.0,0, ,AL,"Dilone,Miguel",.375,.807,2.0,40,82,,61,.432,,CLE,1%,28,3.0,,1980
585,.275,,0.0,25, ,AL,"Perez,Tony",.320,.786,2.0,105,73,,1,.467,,BOS,1%,41,0.7,,1980
415,.301,,0.0,12, ,AL,"Lynn,Fred",.383,.862,1.0,61,67,,12,.480,,BOS,0%,58,4.7,,1980
453,.305,,0.0,6, ,AL,"Wathan,John",.377,.783,1.0,58,57,,17,.406,,KCR,0%,50,2.7,,1980
548,.286,,24.0,48, ,NL,"Schmidt,Mike",.380,1.004,336.0,121,104,,12,.624,,PHI,100%,89,8.9,,1980
549,.264,,0.0,29, ,NL,"Carter,Gary",.331,.818,193.0,101,76,,3,.486,,MON,57%,58,6.5,,1980
612,.302,,0.0,11, ,NL,"Cruz,Jose",.360,.787,166.0,91,79,,36,.426,,HOU,49%,60,4.8,,1980
579,.294,,0.0,29, ,NL,"Baker,Dusty",.339,.842,138.0,97,80,,12,.503,,LAD,41%,43,4.6,,1980
101,.188,2.34,0.0,0,304.0,NL,"Carlton,Steve",.190,.388,134.0,6,7,0,0,.198,286,PHI,40%,1,10.1,24,1980
658,.304,,0.0,26, ,NL,"Garvey,Steve",.341,.808,131.0,106,78,,6,.467,,LAD,39%,36,3.1,,1980
577,.308,,0.0,17, ,NL,"Dawson,Andre",.358,.850,72.0,87,96,,34,.492,,MON,21%,44,6.8,,1980
572,.302,,0.0,25, ,NL,"Hendrick,George",.342,.840,50.0,109,73,,6,.498,,STL,15%,32,3.9,,1980
463,.268,,0.0,35, ,NL,"Horner,Bob",.307,.836,42.0,89,81,,3,.529,,ATL,13%,27,4.4,,1980
554,.309,,0.0,9, ,NL,"McBride,Bake",.342,.795,32.0,87,68,,13,.453,,PHI,10%,26,3.2,,1980
595,.321,,0.0,16, ,NL,"Hernandez,Keith",.408,.902,29.0,99,111,,14,.494,,STL,9%,86,6.7,,1980
569,.281,,0.0,33, ,NL,"Murphy,Dale",.349,.858,23.0,89,98,,9,.510,,ATL,7%,59,6.6,,1980
499,.309,,0.0,10, ,NL,"Cedeno,Cesar",.389,.854,14.0,73,71,,48,.465,,HOU,4%,66,5.1,,1980
77,.156,3.32,0.0,1,238.1,NL,"Bibby,Jim",.224,.457,11.0,7,6,0,0,.234,144,PIT,3%,6,3.7,19,1980
578,.324,,0.0,10, ,NL,"Buckner,Bill",.353,.810,11.0,68,69,,1,.457,,CHC,3%,30,1.5,,1980
8,.250,1.46,0.0,0,92.1,NL,"McGraw,Tug",.250,.500,10.0,1,0,20,0,.250,75,PHI,3%,0,4.7,5,1980
360,.250,,0.0,24, ,NL,"Bench,Johnny",.327,.810,7.0,68,52,,4,.483,,CIN,2%,41,3.4,,1980
437,.284,,0.0,22, ,NL,"Clark,Jack",.382,.900,6.0,82,77,,2,.517,,SFG,2%,74,4.7,,1980
80,.275,3.55,0.0,0,256.0,NL,"Niekro,Joe",.310,.647,3.0,10,7,0,0,.338,127,HOU,1%,4,1.8,20,1980
393,.338,,0.0,21, ,NL,"Easler,Mike",.396,.978,2.0,74,66,,5,.583,,PIT,1%,43,4.1,,1980
68,.088,2.51,0.0,1,229.1,NL,"Reuss,Jerry",.162,.309,2.0,3,4,3,0,.147,111,LAD,1%,6,5.1,18,1980
544,.294,,0.0,13, ,NL,"Griffey,Ken",.364,.818,1.0,85,89,,23,.454,,CIN,0%,62,3.9,,1980
521,.257,,0.0,4, ,NL,"LeFlore,Ron",.337,.700,1.0,39,95,,97,.363,,MON,0%,62,2.5,,1980
642,.301,,0.0,4, ,NL,"Richards,Gene",.363,.748,1.0,41,91,,61,.385,,SDP,0%,61,4.6,,1980
567,.224,,0.0,0, ,NL,"Scott,Rodney",.307,.600,1.0,46,84,,63,.293,,MON,0%,70,1.0,,1980
628,.296,,20.0,36, ,AL,"Baylor,Don",.371,.901,347.0,139,120,,22,.530,,CAL,89%,71,3.7,,1979
570,.295,,3.0,35, ,AL,"Singleton,Ken",.405,.938,241.0,111,93,,3,.533,,BAL,61%,109,5.3,,1979
645,.329,,2.0,23, ,AL,"Brett,George",.376,.939,226.0,107,119,,17,.563,,KCR,58%,51,8.6,,1979
531,.333,,0.0,39, ,AL,"Lynn,Fred",.423,1.059,160.0,122,116,,2,.637,,BOS,41%,82,8.9,,1979
619,.325,,0.0,39, ,AL,"Rice,Jim",.381,.977,124.0,130,117,,9,.596,,BOS,32%,57,6.4,,1979
0,,3.08,3.0,0,265.2,AL,"Flanagan,Mike",,,100.0,0,0,0,0,,190,BAL,26%,0,3.8,23,1979
557,.244,,0.0,45, ,AL,"Thomas,Gorman",.356,.895,87.0,123,97,,1,.539,,MIL,22%,98,4.8,,1979
534,.294,,0.0,30, ,AL,"Grich,Bobby",.365,.903,58.0,101,78,,1,.537,,CAL,15%,59,6.0,,1979
533,.291,,0.0,20, ,AL,"Porter,Darrell",.421,.905,52.0,112,101,,3,.484,,KCR,13%,121,7.6,,1979
670,.299,,0.0,18, ,AL,"Bell,Buddy",.327,.778,48.0,101,89,,5,.451,,TEX,12%,30,6.9,,1979
0,,1.57,0.0,0,143.0,AL,"Kern,Jim",,,25.0,0,0,29,0,,136,TEX,6%,0,6.1,13,1979
0,,2.65,0.0,0,142.2,AL,"Marshall,Mike",,,25.0,0,0,32,0,,81,MIN,6%,0,4.4,10,1979
606,.295,,0.0,25, ,AL,"Murray,Eddie",.369,.844,25.0,99,90,,10,.475,,BAL,6%,72,4.9,,1979
509,.326,,0.0,12, ,AL,"Downing,Brian",.418,.880,24.0,75,87,,3,.462,,CAL,6%,77,5.6,,1979
473,.321,,0.0,28, ,AL,"Lezcano,Sixto",.414,.987,18.0,101,84,,4,.573,,MIL,5%,77,5.6,,1979
621,.271,,0.0,24, ,AL,"Smalley,Roy",.353,.794,16.0,95,94,,2,.441,,MIN,4%,80,4.3,,1979
490,.318,,0.0,26, ,AL,"Kemp,Steve",.398,.941,15.0,105,88,,5,.543,,DET,4%,68,4.2,,1979
588,.315,,0.0,6, ,AL,"Wilson,Willie",.351,.771,15.0,49,113,,83,.420,,KCR,4%,28,6.3,,1979
0,,3.63,0.0,0,109.0,AL,"Clear,Mark",,,12.0,0,0,14,0,,98,CAL,3%,0,1.8,11,1979
584,.322,,0.0,9, ,AL,"Molitor,Paul",.372,.842,8.0,62,88,,33,.469,,MIL,2%,48,5.6,,1979
627,.278,,0.0,5, ,AL,"Burleson,Rick",.315,.683,7.0,60,93,,9,.368,,BOS,2%,35,3.8,,1979
0,,2.96,0.0,0,276.1,AL,"John,Tommy",,,5.0,0,0,0,0,,111,NYY,1%,0,5.5,21,1979
590,.308,,0.0,24, ,AL,"Cooper,Cecil",.364,.872,4.0,106,83,,15,.508,,MIL,1%,56,3.7,,1979
646,.279,,0.0,29, ,AL,"Horton,Willie",.326,.784,3.0,106,77,,1,.458,,SEA,1%,42,1.0,,1979
465,.297,,0.0,29, ,AL,"Jackson,Reggie",.382,.926,3.0,89,78,,9,.544,,NYY,1%,65,3.5,,1979
569,.290,,0.0,21, ,AL,"Ford,Dan",.333,.797,1.0,101,100,,8,.464,,CAL,0%,40,2.5,,1979
0,,2.78,0.0,0,236.1,AL,"Guidry,Ron",,,1.0,0,0,2,0,,201,NYY,0%,0,6.5,18,1979
338,.325,,0.0,10, ,AL,"Hargrove,Mike",.433,.933,1.0,56,60,,2,.500,,CLE,0%,63,2.9,,1979
610,.344,,4.0,11, ,NL,"Hernandez,Keith",.417,.930,216.0,105,116,,11,.513,,STL,64%,80,7.6,,1979
424,.281,,10.0,32, ,NL,"Stargell,Willie",.352,.904,216.0,82,60,,0,.552,,PIT,64%,47,2.5,,1979
597,.308,,4.0,34, ,NL,"Winfield,Dave",.395,.953,155.0,118,97,,15,.558,,SDP,46%,85,8.3,,1979
544,.307,,0.0,30, ,NL,"Parrish,Larry",.357,.909,128.0,82,83,,5,.551,,MON,38%,41,4.6,,1979
551,.318,,2.0,10, ,NL,"Knight,Ray",.360,.814,82.0,79,64,,4,.454,,CIN,24%,38,3.1,,1979
83,.120,3.00,1.0,0,263.2,NL,"Niekro,Joe",.140,.284,75.0,4,1,0,0,.145,119,HOU,22%,2,3.2,21,1979
12,.250,2.22,0.0,0,101.1,NL,"Sutter,Bruce",.308,.558,69.0,3,0,37,1,.250,110,CHC,21%,1,5.1,6,1979
15,.133,2.75,1.0,0,134.1,NL,"Tekulve,Kent",.188,.321,64.0,1,3,31,0,.133,75,PIT,19%,1,3.2,10,1979
590,.281,,0.0,16, ,NL,"Concepcion,Dave",.348,.764,63.0,84,91,,19,.415,,CIN,19%,64,4.9,,1979
