year,team_full,league,team_wins,team_losses,team_ties,team
1950,Boston Braves,NL,83,71,2,BSN
1950,St. Louis Browns,AL,58,96,0,SLB
1950,Boston Red Sox,AL,94,60,0,BOS
1950,Chicago Cubs,NL,64,89,1,CHC
1950,Chicago White Sox,AL,60,94,2,CHW
1950,Cincinnati Reds,NL,66,87,0,CIN
1950,Cleveland Indians,AL,92,62,1,CLE
1950,Detroit Tigers,AL,95,59,3,DET
1950,Brooklyn Dodgers,NL,89,65,1,BRO
1950,Washington Senators,AL,67,87,1,WSH
1950,New York Yankees,AL,98,56,1,NYY
1950,Philadelphia Athletics,AL,52,102,0,PHA
1950,Philadelphia Phillies,NL,91,63,3,PHI
1950,Pittsburgh Pirates,NL,57,96,1,PIT
1950,New York Giants,NL,86,68,0,NYG
1950,St. Louis Cardinals,NL,78,75,0,STL
1951,Boston Braves,NL,76,78,1,BSN
1951,St. Louis Browns,AL,52,102,0,SLB
1951,Boston Red Sox,AL,87,67,0,BOS
1951,Chicago Cubs,NL,62,92,1,CHC
1951,Chicago White Sox,AL,81,73,1,CHW
1951,Cincinnati Reds,NL,68,86,1,CIN
1951,Cleveland Indians,AL,93,61,1,CLE
1951,Detroit Tigers,AL,73,81,0,DET
1951,Brooklyn Dodgers,NL,97,60,1,BRO
1951,Washington Senators,AL,62,92,0,WSH
1951,New York Yankees,AL,98,56,0,NYY
1951,Philadelphia Athletics,AL,70,84,0,PHA
1951,Philadelphia Phillies,NL,73,81,0,PHI
1951,Pittsburgh Pirates,NL,64,90,1,PIT
1951,New York Giants,NL,98,59,0,NYG
1951,St. Louis Cardinals,NL,81,73,1,STL
1952,Boston Braves,NL,64,89,2,BSN
1952,St. Louis Browns,AL,64,90,1,SLB
1952,Boston Red Sox,AL,76,78,0,BOS
1952,Chicago Cubs,NL,77,77,1,CHC
1952,Chicago White Sox,AL,81,73,2,CHW
1952,Cincinnati Reds,NL,69,85,0,CIN
1952,Cleveland Indians,AL,93,61,1,CLE
1952,Detroit Tigers,AL,50,104,2,DET
1952,Brooklyn Dodgers,NL,96,57,2,BRO
1952,Washington Senators,AL,78,76,3,WSH
1952,New York Yankees,AL,95,59,0,NYY
1952,Philadelphia Athletics,AL,79,75,1,PHA
1952,Philadelphia Phillies,NL,87,67,0,PHI
1952,Pittsburgh Pirates,NL,42,112,1,PIT
1952,New York Giants,NL,92,62,0,NYG
1952,St. Louis Cardinals,NL,88,66,0,STL
1953,Milwaukee Braves,NL,92,62,3,MLN
1953,St. Louis Browns,AL,54,100,0,SLB
1953,Boston Red Sox,AL,84,69,0,BOS
1953,Chicago Cubs,NL,65,89,1,CHC
1953,Chicago White Sox,AL,89,65,2,CHW
1953,Cincinnati Reds,NL,68,86,1,CIN
1953,Cleveland Indians,AL,92,62,1,CLE
1953,Detroit Tigers,AL,60,94,4,DET
1953,Brooklyn Dodgers,NL,105,49,1,BRO
1953,Washington Senators,AL,76,76,0,WSH
1953,New York Yankees,AL,99,52,0,NYY
1953,Philadelphia Athletics,AL,59,95,3,PHA
1953,Philadelphia Phillies,NL,83,71,2,PHI
1953,Pittsburgh Pirates,NL,50,104,0,PIT
1953,New York Giants,NL,70,84,1,NYG
1953,St. Louis Cardinals,NL,83,71,3,STL
1954,Milwaukee Braves,NL,89,65,0,MLN
1954,Baltimore Orioles,AL,54,100,0,BAL
1954,Boston Red Sox,AL,69,85,2,BOS
1954,Chicago Cubs,NL,64,90,0,CHC
1954,Chicago White Sox,AL,94,60,1,CHW
1954,Cincinnati Redlegs,NL,74,80,0,CIN
1954,Cleveland Indians,AL,111,43,2,CLE
1954,Detroit Tigers,AL,68,86,1,DET
1954,Brooklyn Dodgers,NL,92,62,0,BRO
1954,Washington Senators,AL,66,88,1,WSH
1954,New York Yankees,AL,103,51,1,NYY
1954,Philadelphia Athletics,AL,51,103,2,PHA
1954,Philadelphia Phillies,NL,75,79,0,PHI
1954,Pittsburgh Pirates,NL,53,101,0,PIT
1954,New York Giants,NL,97,57,0,NYG
1954,St. Louis Cardinals,NL,72,82,0,STL
1955,Milwaukee Braves,NL,85,69,0,MLN
1955,Baltimore Orioles,AL,57,97,2,BAL
1955,Boston Red Sox,AL,84,70,0,BOS
1955,Chicago Cubs,NL,72,81,1,CHC
1955,Chicago White Sox,AL,91,63,1,CHW
1955,Cincinnati Redlegs,NL,75,79,0,CIN
1955,Cleveland Indians,AL,93,61,0,CLE
1955,Detroit Tigers,AL,79,75,0,DET
1955,Brooklyn Dodgers,NL,98,55,1,BRO
1955,Washington Senators,AL,53,101,0,WSH
1955,New York Yankees,AL,96,58,0,NYY
1955,Kansas City Athletics,AL,63,91,1,KCA
1955,Philadelphia Phillies,NL,77,77,0,PHI
1955,Pittsburgh Pirates,NL,60,94,0,PIT
1955,New York Giants,NL,80,74,0,NYG
1955,St. Louis Cardinals,NL,68,86,0,STL
1956,Milwaukee Braves,NL,92,62,1,MLN
1956,Baltimore Orioles,AL,69,85,0,BAL
1956,Boston Red Sox,AL,84,70,1,BOS
1956,Chicago Cubs,NL,60,94,3,CHC
1956,Chicago White Sox,AL,85,69,0,CHW
1956,Cincinnati Redlegs,NL,91,63,1,CIN
1956,Cleveland Indians,AL,88,66,1,CLE
1956,Detroit Tigers,AL,82,72,1,DET
1956,Brooklyn Dodgers,NL,93,61,0,BRO
1956,Washington Senators,AL,59,95,1,WSH
1956,New York Yankees,AL,97,57,0,NYY
1956,Kansas City Athletics,AL,52,102,0,KCA
1956,Philadelphia Phillies,NL,71,83,0,PHI
1956,Pittsburgh Pirates,NL,66,88,3,PIT
1956,New York Giants,NL,67,87,0,NYG
1956,St. Louis Cardinals,NL,76,78,2,STL
1957,Milwaukee Braves,NL,95,59,1,MLN
1957,Baltimore Orioles,AL,76,76,2,BAL
1957,Boston Red Sox,AL,82,72,0,BOS
1957,Chicago Cubs,NL,62,92,2,CHC
1957,Chicago White Sox,AL,90,64,1,CHW
1957,Cincinnati Redlegs,NL,80,74,0,CIN
1957,Cleveland Indians,AL,76,77,0,CLE
1957,Detroit Tigers,AL,78,76,0,DET
1957,Brooklyn Dodgers,NL,84,70,0,BRO
1957,Washington Senators,AL,55,99,0,WSH
1957,New York Yankees,AL,98,56,0,NYY
1957,Kansas City Athletics,AL,59,94,1,KCA
1957,Philadelphia Phillies,NL,77,77,2,PHI
1957,Pittsburgh Pirates,NL,62,92,1,PIT
1957,New York Giants,NL,69,85,0,NYG
1957,St. Louis Cardinals,NL,87,67,0,STL
1958,Milwaukee Braves,NL,92,62,0,MLN
1958,Baltimore Orioles,AL,74,79,1,BAL
1958,Boston Red Sox,AL,79,75,1,BOS
1958,Chicago Cubs,NL,72,82,0,CHC
1958,Chicago White Sox,AL,82,72,1,CHW
1958,Cincinnati Redlegs,NL,76,78,0,CIN
1958,Cleveland Indians,AL,77,76,0,CLE
1958,Detroit Tigers,AL,77,77,0,DET
1958,Los Angeles Dodgers,NL,71,83,0,LAD
1958,Washington Senators,AL,61,93,2,WSH
1958,New York Yankees,AL,92,62,1,NYY
1958,Kansas City Athletics,AL,73,81,2,KCA
1958,Philadelphia Phillies,NL,69,85,0,PHI
1958,Pittsburgh Pirates,NL,84,70,0,PIT
1958,San Francisco Giants,NL,80,74,0,SFG
1958,St. Louis Cardinals,NL,72,82,0,STL
1959,Milwaukee Braves,NL,86,70,1,MLN
1959,Baltimore Orioles,AL,74,80,1,BAL
1959,Boston Red Sox,AL,75,79,0,BOS
1959,Chicago Cubs,NL,74,80,1,CHC
1959,Chicago White Sox,AL,94,60,2,CHW
1959,Cincinnati Redlegs,NL,74,80,0,CIN
1959,Cleveland Indians,AL,89,65,0,CLE
1959,Detroit Tigers,AL,76,78,0,DET
1959,Los Angeles Dodgers,NL,88,68,0,LAD
1959,Washington Senators,AL,63,91,0,WSH
1959,New York Yankees,AL,79,75,1,NYY
1959,Kansas City Athletics,AL,66,88,0,KCA
1959,Philadelphia Phillies,NL,64,90,1,PHI
1959,Pittsburgh Pirates,NL,78,76,1,PIT
1959,San Francisco Giants,NL,83,71,0,SFG
1959,St. Louis Cardinals,NL,71,83,0,STL
1960,Milwaukee Braves,NL,88,66,0,MLN
1960,Baltimore Orioles,AL,89,65,0,BAL
1960,Boston Red Sox,AL,65,89,0,BOS
1960,Chicago Cubs,NL,60,94,2,CHC
1960,Chicago White Sox,AL,87,67,0,CHW
1960,Cincinnati Reds,NL,67,87,0,CIN
1960,Cleveland Indians,AL,76,78,0,CLE
1960,Detroit Tigers,AL,71,83,0,DET
1960,Los Angeles Dodgers,NL,82,72,0,LAD
1960,Washington Senators,AL,73,81,0,WSH
1960,New York Yankees,AL,97,57,1,NYY
1960,Kansas City Athletics,AL,58,96,1,KCA
1960,Philadelphia Phillies,NL,59,95,0,PHI
1960,Pittsburgh Pirates,NL,95,59,1,PIT
1960,San Francisco Giants,NL,79,75,2,SFG
1960,St. Louis Cardinals,NL,86,68,1,STL
1961,Milwaukee Braves,NL,83,71,1,MLN
1961,Baltimore Orioles,AL,95,67,1,BAL
1961,Boston Red Sox,AL,76,86,1,BOS
1961,Chicago Cubs,NL,64,90,2,CHC
1961,Chicago White Sox,AL,86,76,1,CHW
1961,Cincinnati Reds,NL,93,61,0,CIN
1961,Cleveland Indians,AL,78,83,0,CLE
1961,Detroit Tigers,AL,101,61,1,DET
1961,Los Angeles Angels,AL,70,91,1,LAA
1961,Los Angeles Dodgers,NL,89,65,0,LAD
1961,Minnesota Twins,AL,70,90,1,MIN
1961,New York Yankees,AL,109,53,1,NYY
1961,Kansas City Athletics,AL,61,100,1,KCA
1961,Philadelphia Phillies,NL,47,107,1,PHI
1961,Pittsburgh Pirates,NL,75,79,0,PIT
1961,San Francisco Giants,NL,85,69,1,SFG
1961,St. Louis Cardinals,NL,80,74,1,STL
1961,Washington Senators,AL,61,100,0,WSA
1962,Milwaukee Braves,NL,86,76,0,MLN
1962,Baltimore Orioles,AL,77,85,0,BAL
1962,Boston Red Sox,AL,76,84,0,BOS
1962,Chicago Cubs,NL,59,103,0,CHC
1962,Chicago White Sox,AL,85,77,0,CHW
1962,Cincinnati Reds,NL,98,64,0,CIN
1962,Cleveland Indians,AL,80,82,0,CLE
1962,Detroit Tigers,AL,85,76,0,DET
1962,Houston Colt .45's,NL,64,96,2,HOU
1962,Los Angeles Angels,AL,86,76,0,LAA
1962,Los Angeles Dodgers,NL,102,63,0,LAD
1962,Minnesota Twins,AL,91,71,1,MIN
1962,New York Mets,NL,40,120,1,NYM
1962,New York Yankees,AL,96,66,0,NYY
1962,Kansas City Athletics,AL,72,90,0,KCA
1962,Philadelphia Phillies,NL,81,80,0,PHI
1962,Pittsburgh Pirates,NL,93,68,0,PIT
1962,San Francisco Giants,NL,103,62,0,SFG
1962,St. Louis Cardinals,NL,84,78,1,STL
1962,Washington Senators,AL,60,101,1,WSA
1963,Milwaukee Braves,NL,84,78,1,MLN
1963,Baltimore Orioles,AL,86,76,0,BAL
1963,Boston Red Sox,AL,76,85,0,BOS
1963,Chicago Cubs,NL,82,80,0,CHC
1963,Chicago White Sox,AL,94,68,0,CHW
1963,Cincinnati Reds,NL,86,76,0,CIN
1963,Cleveland Indians,AL,79,83,0,CLE
1963,Detroit Tigers,AL,79,83,0,DET
1963,Houston Colt .45's,NL,66,96,0,HOU
1963,Los Angeles Angels,AL,70,91,0,LAA
1963,Los Angeles Dodgers,NL,99,63,1,LAD
1963,Minnesota Twins,AL,91,70,0,MIN
1963,New York Mets,NL,51,111,0,NYM
1963,New York Yankees,AL,104,57,0,NYY
1963,Kansas City Athletics,AL,73,89,0,KCA
1963,Philadelphia Phillies,NL,87,75,0,PHI
1963,Pittsburgh Pirates,NL,74,88,0,PIT
1963,San Francisco Giants,NL,88,74,0,SFG
1963,St. Louis Cardinals,NL,93,69,0,STL
1963,Washington Senators,AL,56,106,0,WSA
1964,Milwaukee Braves,NL,88,74,0,MLN
1964,Baltimore Orioles,AL,97,65,1,BAL
1964,Boston Red Sox,AL,72,90,0,BOS
1964,Chicago Cubs,NL,76,86,0,CHC
1964,Chicago White Sox,AL,98,64,0,CHW
1964,Cincinnati Reds,NL,92,70,1,CIN
1964,Cleveland Indians,AL,79,83,2,CLE
1964,Detroit Tigers,AL,85,77,1,DET
1964,Houston Colt .45's,NL,66,96,0,HOU
1964,Los Angeles Angels,AL,82,80,0,LAA
1964,Los Angeles Dodgers,NL,80,82,2,LAD
1964,Minnesota Twins,AL,79,83,1,MIN
1964,New York Mets,NL,53,109,1,NYM
1964,New York Yankees,AL,99,63,2,NYY
1964,Kansas City Athletics,AL,57,105,1,KCA
1964,Philadelphia Phillies,NL,92,70,0,PHI
1964,Pittsburgh Pirates,NL,80,82,0,PIT
1964,San Francisco Giants,NL,90,72,0,SFG
1964,St. Louis Cardinals,NL,93,69,0,STL
1964,Washington Senators,AL,62,100,0,WSA
1965,Milwaukee Braves,NL,86,76,0,MLN
1965,Baltimore Orioles,AL,94,68,0,BAL
1965,Boston Red Sox,AL,62,100,0,BOS
1965,Chicago Cubs,NL,72,90,2,CHC
1965,Chicago White Sox,AL,95,67,0,CHW
1965,Cincinnati Reds,NL,89,73,0,CIN
1965,Cleveland Indians,AL,87,75,0,CLE
1965,Detroit Tigers,AL,89,73,0,DET
1965,Houston Astros,NL,65,97,0,HOU
1965,California Angels,AL,75,87,0,CAL
1965,Los Angeles Dodgers,NL,97,65,0,LAD
1965,Minnesota Twins,AL,102,60,0,MIN
1965,New York Mets,NL,50,112,2,NYM
1965,New York Yankees,AL,77,85,0,NYY
1965,Kansas City Athletics,AL,59,103,0,KCA
1965,Philadelphia Phillies,NL,85,76,1,PHI
1965,Pittsburgh Pirates,NL,90,72,1,PIT
1965,San Francisco Giants,NL,95,67,1,SFG
1965,St. Louis Cardinals,NL,80,81,1,STL
1965,Washington Senators,AL,70,92,0,WSA
1966,Atlanta Braves,NL,85,77,1,ATL
1966,Baltimore Orioles,AL,97,63,0,BAL
1966,Boston Red Sox,AL,72,90,0,BOS
1966,Chicago Cubs,NL,59,103,0,CHC
1966,Chicago White Sox,AL,83,79,1,CHW
